geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E07000172,Broxtowe,73.2,37.06,36.14,11.14,14.08,1.22,2.55,2.32,0.24,20.02,36.51,40.91,45.62,31.44,18.88,3.76,0.31,22.95,54.38,3.87,62.92,30.32,3.47,7.7,2011
E07000173,Gedling,75.26,37.7,37.56,9.98,13.15,1.07,1.88,1.65,0.23,19.25,37.3,41.57,44.9,32.17,18.66,3.97,0.3,22.92,55.1,4.07,64.68,28.57,3.64,9.31,2011
E07000174,Mansfield,66.57,32.63,33.94,18.25,13.61,1.2,2.98,2.62,0.36,23.35,37.57,36.1,36.2,32.04,24.55,6.74,0.47,31.76,63.8,4.6,60.87,32.1,6.48,7.13,2011
E07000175,Newark and Sherwood,70.64,35.67,34.97,14.45,12.87,1.51,1.77,1.53,0.24,17.23,35.31,45.69,43.44,32.5,19.37,4.44,0.25,24.06,56.56,3.56,62.83,31.11,4.27,9.79,2011
E07000176,Rushcliffe,76.67,39.21,37.46,8.41,13.27,0.93,1.65,1.48,0.17,14.81,33.95,49.59,54.82,29.33,13.56,2.15,0.15,15.85,45.18,2.75,65.8,28.12,2.18,10.78,2011
E07000177,Cherwell,69.28,30.87,38.41,12.11,16.23,1.59,3.0,2.61,0.39,22.88,33.81,40.31,49.79,31.7,15.07,3.12,0.32,18.51,50.21,2.84,70.26,24.31,2.46,10.32,2011
E07000178,Oxford,46.72,23.98,22.75,21.36,28.23,1.95,5.99,5.08,0.91,33.53,31.42,29.06,48.29,31.65,15.11,4.42,0.53,20.06,51.71,3.21,53.58,36.74,2.64,6.95,2011
E07000179,South Oxfordshire,72.94,37.17,35.76,11.39,13.33,1.5,2.41,2.13,0.27,20.13,33.66,43.8,54.9,29.88,12.91,2.13,0.18,15.23,45.1,2.52,70.39,24.84,1.87,13.04,2011
E07000180,Vale of White Horse,70.33,35.83,34.5,13.32,13.63,1.67,1.97,1.78,0.19,19.47,31.29,47.27,54.12,30.6,12.7,2.35,0.22,15.28,45.88,2.5,69.94,24.88,1.92,10.79,2011
E07000181,West Oxfordshire,69.7,34.49,35.21,12.46,14.85,1.72,2.01,1.79,0.22,19.44,34.9,43.65,53.8,30.75,13.1,2.19,0.16,15.45,46.2,2.27,72.13,23.18,1.83,12.41,2011
E07000187,Mendip,70.28,37.67,32.61,11.86,15.46,1.65,2.27,2.04,0.22,21.7,33.05,42.98,46.37,32.92,16.98,3.39,0.35,20.71,53.63,2.92,66.33,28.21,3.3,14.23,2011
E07000188,Sedgemoor,71.31,37.54,33.77,12.19,14.58,1.36,2.19,1.98,0.21,20.98,34.5,42.33,41.81,33.82,19.54,4.42,0.4,24.37,58.19,3.58,63.63,30.08,3.98,11.51,2011
E07000189,South Somerset,70.29,38.44,31.85,13.95,13.34,1.63,2.12,1.91,0.2,20.81,34.14,42.93,45.67,33.5,17.27,3.27,0.29,20.84,54.33,2.74,66.07,28.85,3.06,11.7,2011
E07000192,Cannock Chase,69.12,30.46,38.65,16.92,12.14,1.21,3.0,2.74,0.26,26.11,36.09,34.81,39.8,31.34,22.83,5.58,0.45,28.86,60.2,4.58,63.81,29.01,4.73,8.67,2011
E07000193,East Staffordshire,69.58,35.08,34.51,13.47,15.14,1.25,3.12,2.71,0.41,22.08,35.07,39.72,43.55,32.28,19.05,4.67,0.45,24.17,56.45,3.82,63.98,29.47,3.74,8.64,2011
E07000194,Lichfield,75.57,38.69,36.89,13.21,9.54,1.09,2.37,2.12,0.25,18.29,33.21,46.13,47.44,31.51,17.4,3.38,0.27,21.05,52.56,3.39,63.59,30.63,3.04,10.45,2011
E07000195,Newcastle-under-Lyme,69.11,35.18,33.93,18.72,10.48,1.26,2.65,2.43,0.23,24.07,37.15,36.13,41.24,31.78,21.52,5.15,0.31,26.98,58.76,3.66,59.13,33.32,4.7,7.57,2011
E07000196,South Staffordshire,75.73,40.06,35.67,13.93,8.48,1.29,2.16,2.01,0.15,18.33,35.96,43.55,46.19,32.26,18.08,3.28,0.19,21.56,53.81,3.31,64.01,30.1,2.76,10.47,2011
E07000197,Stafford,71.59,36.37,35.22,13.68,12.94,1.29,1.94,1.7,0.24,19.61,33.81,44.64,48.02,32.18,16.44,3.13,0.23,19.81,51.98,3.11,63.64,29.83,3.11,9.12,2011
E07000198,Staffordshire Moorlands,79.69,44.08,35.61,8.86,9.82,1.33,1.91,1.71,0.2,18.98,37.62,41.48,43.67,31.99,20.15,3.87,0.32,24.34,56.33,2.82,63.99,30.65,4.06,11.34,2011
E07000199,Tamworth,68.24,27.8,40.44,19.32,10.99,0.95,2.69,2.43,0.26,23.89,35.42,38.0,41.69,32.2,20.68,5.0,0.43,26.11,58.31,4.47,65.31,27.53,4.12,7.11,2011
E07000200,Babergh,71.91,39.61,32.3,13.09,12.56,1.96,1.54,1.38,0.16,17.9,35.17,45.39,47.5,33.15,16.46,2.72,0.17,19.35,52.5,2.98,65.06,29.69,2.53,12.72,2011
E07000202,Ipswich,56.66,25.7,30.97,21.59,19.93,1.17,3.52,3.04,0.48,28.7,34.81,32.98,39.5,33.27,20.75,5.93,0.55,27.23,60.5,5.36,65.03,26.49,4.17,7.31,2011
E07000203,Mid Suffolk,75.08,39.39,35.69,11.27,11.2,1.59,1.61,1.44,0.17,17.58,34.96,45.86,48.75,32.28,16.25,2.59,0.14,18.97,51.25,2.55,67.21,27.78,2.24,13.0,2011
