geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E07000065,Wealden,2011,78.75,42.25,7.67,11.13,1.65,48.48,33.14,15.62,2.58,0.18,18.39,51.52,50.95,0.2167
E07000065,Wealden,2021,76.97,44.69,8.35,13.48,0.04,52.48,34.26,11.29,1.89,0.08,13.26,47.52,50.95,0.2167
E07000066,Basildon,2011,65.94,28.92,21.96,10.24,0.87,40.06,33.66,20.69,5.12,0.48,26.28,59.94,51.5761,0.4886
E07000066,Basildon,2021,63.25,30.16,21.23,14.24,0.13,46.17,34.34,15.26,3.94,0.29,19.49,53.83,51.5761,0.4886
E07000067,Braintree,2011,68.59,30.49,16.47,13.24,1.1,46.11,32.36,17.55,3.69,0.29,21.53,53.89,51.8781,0.55
E07000067,Braintree,2021,67.85,34.26,16.3,15.07,0.05,49.99,34.15,12.99,2.72,0.15,15.86,50.01,51.8781,0.55
E07000068,Brentwood,2011,75.14,37.96,11.7,11.26,1.26,49.2,32.45,15.05,3.04,0.26,18.34,50.8,51.6214,0.3053
E07000068,Brentwood,2021,71.91,36.47,11.32,15.96,0.15,55.45,31.45,10.71,2.21,0.17,13.09,44.55,51.6214,0.3053
E07000069,Castle Point,2011,82.6,43.06,5.35,10.89,0.88,38.56,35.18,21.81,4.11,0.34,26.26,61.44,51.55,0.7
E07000069,Castle Point,2021,80.07,45.3,5.49,14.01,0.07,43.83,36.8,15.77,3.38,0.21,19.36,56.17,51.55,0.7
E07000070,Chelmsford,2011,73.17,34.01,13.09,11.98,1.11,50.23,31.52,14.96,2.99,0.31,18.25,49.77,51.7356,0.4685
E07000070,Chelmsford,2021,69.96,35.88,13.28,15.55,0.04,54.57,32.23,10.84,2.25,0.12,13.2,45.43,51.7356,0.4685
E07000071,Colchester,2011,66.32,31.88,13.5,18.69,1.04,47.23,32.2,16.27,3.92,0.39,20.57,52.77,51.8959,0.8919
E07000071,Colchester,2021,64.58,32.78,13.28,21.53,0.08,51.36,33.25,12.33,2.88,0.18,15.39,48.64,51.8959,0.8919
E07000072,Epping Forest,2011,72.25,34.76,15.01,11.04,1.3,44.78,33.62,17.55,3.7,0.35,21.6,55.22,51.6957,0.1133
E07000072,Epping Forest,2021,69.63,35.15,14.65,14.93,0.14,51.11,33.18,12.66,2.86,0.19,15.71,48.89,51.6957,0.1133
E07000073,Harlow,2011,56.12,21.23,31.22,10.85,0.87,37.74,35.49,21.02,5.16,0.59,26.77,62.26,51.7712,0.1021
E07000073,Harlow,2021,53.74,23.04,29.31,15.38,0.24,42.93,35.39,16.77,4.41,0.5,21.68,57.07,51.7712,0.1021
